NAME	original_cell_subset	CellType	Patient_ID	filename	dataset	nUMIs	Sample_ID	Gender	Age	barcodes	Count
TYPE	group	group	group	group	group	numeric	group	group	group	group	numeric
HP1504101T2D_O3	Ductal	Epithelial (Ductal)	2	pancreas	Pancreas_Healthy_Sandberg_2016	188883	HP1504101T2D	NA	NA	HP1504101T2D_O3	1
HP1504101T2D_O4	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1459150	HP1504101T2D	NA	NA	HP1504101T2D_O4	1
HP1504101T2D_O6	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	351534	HP1504101T2D	NA	NA	HP1504101T2D_O6	1
HP1504101T2D_O8	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	485	HP1504101T2D	NA	NA	HP1504101T2D_O8	1
HP1504101T2D_O9	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1482762	HP1504101T2D	NA	NA	HP1504101T2D_O9	1
HP1504101T2D_P1	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	536295	HP1504101T2D	NA	NA	HP1504101T2D_P1	1
HP1504101T2D_P10	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1289491	HP1504101T2D	NA	NA	HP1504101T2D_P10	1
HP1504101T2D_P11	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	2543721	HP1504101T2D	NA	NA	HP1504101T2D_P11	1
HP1504101T2D_P12	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	572	HP1504101T2D	NA	NA	HP1504101T2D_P12	1
HP1504101T2D_P14	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	122821	HP1504101T2D	NA	NA	HP1504101T2D_P14	1
HP1504101T2D_P16	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	876671	HP1504101T2D	NA	NA	HP1504101T2D_P16	1
