NAME	original_cell_subset	CellType	Patient_ID	filename	dataset	nUMIs	Sample_ID	Gender	Age	barcodes	Count
TYPE	group	group	group	group	group	numeric	group	group	group	group	numeric
HP1504101T2D_I5	Ductal	Epithelial (Ductal)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1282719	HP1504101T2D	NA	NA	HP1504101T2D_I5	1
HP1504101T2D_I7	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1114590	HP1504101T2D	NA	NA	HP1504101T2D_I7	1
HP1504101T2D_I9	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	878734	HP1504101T2D	NA	NA	HP1504101T2D_I9	1
HP1504101T2D_J12	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	851043	HP1504101T2D	NA	NA	HP1504101T2D_J12	1
HP1504101T2D_J14	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1791485	HP1504101T2D	NA	NA	HP1504101T2D_J14	1
HP1504101T2D_J16	Acinar	Acinar	2	pancreas	Pancreas_Healthy_Sandberg_2016	1976818	HP1504101T2D	NA	NA	HP1504101T2D_J16	1
HP1504101T2D_J18	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	764872	HP1504101T2D	NA	NA	HP1504101T2D_J18	1
HP1504101T2D_J2	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1130560	HP1504101T2D	NA	NA	HP1504101T2D_J2	1
HP1504101T2D_J20	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	545245	HP1504101T2D	NA	NA	HP1504101T2D_J20	1
HP1504101T2D_J21	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	656128	HP1504101T2D	NA	NA	HP1504101T2D_J21	1
HP1504101T2D_J22	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	477064	HP1504101T2D	NA	NA	HP1504101T2D_J22	1
HP1504101T2D_J23	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1070436	HP1504101T2D	NA	NA	HP1504101T2D_J23	1
HP1504101T2D_J24	Acinar	Acinar	2	pancreas	Pancreas_Healthy_Sandberg_2016	1502496	HP1504101T2D	NA	NA	HP1504101T2D_J24	1
HP1504101T2D_J3	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	760264	HP1504101T2D	NA	NA	HP1504101T2D_J3	1
HP1504101T2D_J5	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	871695	HP1504101T2D	NA	NA	HP1504101T2D_J5	1
HP1504101T2D_J6	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1121330	HP1504101T2D	NA	NA	HP1504101T2D_J6	1
HP1504101T2D_J7	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	250558	HP1504101T2D	NA	NA	HP1504101T2D_J7	1
HP1504101T2D_J8	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	39283	HP1504101T2D	NA	NA	HP1504101T2D_J8	1
HP1504101T2D_J9	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	452755	HP1504101T2D	NA	NA	HP1504101T2D_J9	1
HP1504101T2D_K1	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1261984	HP1504101T2D	NA	NA	HP1504101T2D_K1	1
HP1504101T2D_K10	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1250243	HP1504101T2D	NA	NA	HP1504101T2D_K10	1
HP1504101T2D_K11	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	747515	HP1504101T2D	NA	NA	HP1504101T2D_K11	1
HP1504101T2D_K12	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	796972	HP1504101T2D	NA	NA	HP1504101T2D_K12	1
HP1504101T2D_K13	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1225770	HP1504101T2D	NA	NA	HP1504101T2D_K13	1
HP1504101T2D_K15	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	630538	HP1504101T2D	NA	NA	HP1504101T2D_K15	1
HP1504101T2D_K16	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1441488	HP1504101T2D	NA	NA	HP1504101T2D_K16	1
HP1504101T2D_K17	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	579125	HP1504101T2D	NA	NA	HP1504101T2D_K17	1
HP1504101T2D_K19	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	107835	HP1504101T2D	NA	NA	HP1504101T2D_K19	1
HP1504101T2D_K2	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1196295	HP1504101T2D	NA	NA	HP1504101T2D_K2	1
